Thu Mar 14 10:26:16 2019 | stop  | 
Fri Mar 22 10:59:57 2019 | stop  | start Attempting automatic respawn after MCP death
Fri Mar 22 11:00:00 2019 | start | start Attempting automatic respawn after MCP death
Fri Mar 22 11:04:25 2019 | stop  | 
Fri Mar 22 11:04:28 2019 | start | 
Fri Mar 22 11:13:55 2019 | stop  | 
Fri Mar 22 11:13:58 2019 | start | 
Fri Mar 22 11:21:58 2019 | stop  | 
Fri Mar 22 11:22:01 2019 | start | 
Fri Mar 22 11:37:31 2019 | stop  | 
Fri Mar 22 11:37:34 2019 | start | 
Fri Mar 22 11:50:10 2019 | stop  | 
Fri Mar 22 11:50:13 2019 | start | 
Fri Mar 22 12:02:57 2019 | stop  | 
Fri Mar 22 12:03:00 2019 | start | 
Fri Mar 22 14:29:31 2019 | stop  | 
Fri Mar 22 14:29:34 2019 | start | 
Fri Mar 22 14:40:10 2019 | stop  | 
Fri Mar 22 14:40:13 2019 | start | 
Fri Mar 22 14:46:41 2019 | stop  | 
Fri Mar 22 14:46:44 2019 | start | 
Fri Mar 22 15:20:40 2019 | stop  | 
Fri Mar 22 15:20:43 2019 | start | 
Fri Mar 22 15:25:29 2019 | stop  | 
Fri Mar 22 15:25:32 2019 | start | 
Fri Mar 22 15:35:33 2019 | stop  | 
Fri Mar 22 15:35:36 2019 | start | 
Fri Mar 22 15:43:32 2019 | stop  | 
Fri Mar 22 15:43:35 2019 | start | 
Fri Mar 22 15:50:01 2019 | stop  | 
Fri Mar 22 15:50:04 2019 | start | 
Fri Mar 22 15:52:35 2019 | stop  | 
Fri Mar 22 15:52:38 2019 | start | 
Fri Mar 22 17:19:14 2019 | stop  | 
Fri Mar 22 17:19:17 2019 | start | 
Fri Mar 22 17:21:32 2019 | stop  | 
Fri Mar 22 17:21:35 2019 | start | 
Fri Mar 22 17:30:35 2019 | stop  | 
Fri Mar 22 17:30:38 2019 | start | 
Fri Mar 22 17:35:11 2019 | stop  | 
Fri Mar 22 17:35:14 2019 | start | 
Fri Mar 22 17:39:48 2019 | stop  | 
Fri Mar 22 17:39:51 2019 | start | 
Fri Mar 22 17:46:24 2019 | stop  | 
Fri Mar 22 17:46:27 2019 | start | 
Fri Mar 22 17:49:35 2019 | stop  | 
Fri Mar 22 17:49:38 2019 | start | 
Fri Mar 22 17:54:16 2019 | stop  | 
Fri Mar 22 17:54:19 2019 | start | 
Fri Mar 22 17:57:42 2019 | stop  | 
Fri Mar 22 17:57:45 2019 | start | 
Fri Mar 22 18:00:26 2019 | stop  | 
Fri Mar 22 18:00:29 2019 | start | 
Fri Mar 22 18:03:44 2019 | stop  | 
Fri Mar 22 18:03:47 2019 | start | 
Fri Mar 22 18:08:45 2019 | stop  | 
Fri Mar 22 18:08:48 2019 | start | 
Fri Mar 22 18:13:45 2019 | stop  | 
Fri Mar 22 18:13:48 2019 | start | 
Fri Mar 22 18:21:44 2019 | stop  | 
Fri Mar 22 18:21:47 2019 | start | 
Fri Mar 22 18:31:48 2019 | stop  | 
Fri Mar 22 18:31:51 2019 | start | 
Fri Mar 22 18:36:27 2019 | stop  | 
Fri Mar 22 18:36:30 2019 | start | 
Fri Mar 22 18:50:08 2019 | stop  | 
Fri Mar 22 18:50:11 2019 | start | 
Fri Mar 22 18:52:58 2019 | stop  | 
Fri Mar 22 18:53:01 2019 | start | 
